,result,table,_start,_stop,_time,_value,_field,_measurement,domain,host,resource_consumer_kind,resource_id,resource_kind,server,url
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:47Z,6.355133056640625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:48Z,5.5571441650390625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:49Z,6.2171173095703125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:50Z,5.2223968505859375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:51Z,7.5262603759765625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:52Z,4.8777923583984375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:53Z,5.6251220703125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:54Z,7.2330474853515625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:55Z,6.2120361328125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:56Z,5.781463623046875,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:57Z,5.4696807861328125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:58Z,5.555145263671875,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:30:59Z,6.0283050537109375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:00Z,5.5873260498046875,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:01Z,7.0806427001953125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:02Z,5.0564727783203125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:03Z,6.060272216796875,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:04Z,6.9368896484375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:05Z,6.1362457275390625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:06Z,6.5578460693359375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:07Z,5.708831787109375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:08Z,5.135345458984375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:09Z,6.2486419677734375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:10Z,5.2523651123046875,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:11Z,7.1835174560546875,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:12Z,5.5832061767578125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:13Z,5.6265869140625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:14Z,6.62432861328125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:15Z,6.8730621337890625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:16Z,6.11566162109375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:17Z,6.3261871337890625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:18Z,5.5157928466796875,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:19Z,6.8395843505859375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:20Z,5.0147857666015625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:21Z,7.388946533203125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:22Z,5.2114715576171875,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:23Z,6.2115020751953125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:24Z,7.31103515625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:25Z,6.1289825439453125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:26Z,5.9112396240234375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:27Z,6.1897125244140625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:28Z,6.033111572265625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:29Z,6.3135528564453125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:30Z,5.53314208984375,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:31Z,7.3752593994140625,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:32Z,5.6940460205078125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:33Z,6.055908203125,rapl_consumed_energy_J_alumet,alumet,package,energydata,local_machine,0,cpu_package,laptopHP,http://10.255.35.141:9091/metrics
