,result,table,_start,_stop,_time,_value,_field,_measurement,domain_id,domain_name,host,server,socket_id,url
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:32Z,96106,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:35Z,186732,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:38Z,110761,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:41Z,126740,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:44Z,114430,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:47Z,122265,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:50Z,114517,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:53Z,124618,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:56Z,128754,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:33:59Z,113582,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:02Z,100220,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:05Z,148628,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:08Z,114577,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:11Z,184386,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:14Z,245956,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:17Z,86223,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:20Z,93923,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:23Z,104752,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:26Z,145058,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:29Z,89937,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:32Z,200667,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:35Z,245690,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:38Z,134500,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:41Z,86329,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:44Z,111759,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:47Z,100025,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:50Z,117898,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:34:53Z,98086,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
